tupi,portugues
A —. Prefi. xo: atua como,"pessoal: agente, da primei ra pessoa de verbos da segunda conjugaçao. E imprescindivel no indicativo, no permissivo vo, no optativo e no condicional, salvo se os verbos leva- rem pronomes objetivos. Significa: eu. Indica o sujeito."
A,"conota a ideia de arredondado, perdendo sua primitiva natureza de substantivo, e, como tal, tem sentido muito amplo, por vezes intradutivel. Seu sen - tido geral e o de: ifruto, grao, semente. 2 Cabeça."
A.,"verbal: do infinito, do gerundio e de nomes, em funçao nao predicativa ou vocativa. Com o Verbo: em final consoante, e ele acrescentado para formaçao do ge rundio."
A,"i um dos afixos que de nomes forma nomes e esta no limite entre Afixo: e radical, parecendo ter duas posiçoes: a verbal e a nominal. Nao e Vocativo: e so aparece junto a temas terminados em consoante ou em se- mivogal das palavras paroxltonas."
A.,"1 fruto, fruta, grao. 2 Glande, Em composiçao pode significar cabega. Em sentido figurado: amigo, caro, companheiro, mano, querido."
A,"transitivo: dar frutos, frutificar."
A XEl,senhorl
A.,"de aproximaçao: este(a)(s), isto, eis aqui, eis que ja."
AAN,"nada, nao, nenhum, ninguem. Embora prefi- comum aos dois sexos, e preponderante o seu uso pelo homem."
AAN E-NHE.,"transitivo: irregular: 1 contradizer, discor dar, dizer. 2 Porfiar, negar."
AANG-A.,"transitivo: 1 arremedar, 2 Exercitar, ex perimentar. 3 Medir, pesar. 4 Pronunciar, recitar. representar. 5 Bezar. 6 Tentar (a alma), provar."
AANG'-ABA.,"1 figura, imagem. 2 Medida, si- nal."
AANG'-ABA.,Planta (desenho).
AANGA MIQA.,transitivo:
AANGA MIQA.,celebrar missa.
AANG' ARA.,"tentaçao, o tentador."
AANG' ARA.,0 de- monio.
AAN-GATU. Particulas agrupadas,"de aproxima gao: este (a)(s), isto, eis aqui, eis que ja."
AANG'-YPY.,intransitivo: pronunciar pela primeira ve
AANG'-YPY.,","
AAN-I. Particulas agrupadas,"de aproximaçao de coisa que se esta vendo ou nao: este (s), eis aqui, eis que ja, isto."
AAN-I. Particulas agrupadas,"adverbial_: absolutamente nao. Quan- do em resposta a perguntas sobre quantidade, sic nifica: nao mais de dois."
ABA,"verbal: A causa, o lugar, o modo, o tempo, o motivo de. A açao do Verbo: e que deve dar si"
ABA,nificado a composiqao.
ABA.,"cabelo, pelo, pena, pluma."
AB-A { IO- },"defectivo: irregular transitivo: abrir, cortar (com cunha, machado ou a golpea)."
ABA?,interrogativo: quem? Antepoe-se ao particlpio
ABA.,"homem, indio, pessoa, povo."
ABA,"- seguido de um dos patticipios como ""bae"" ""gara"", ""mbi"", ""pyra"", ""gaba"":, quem."
ABA-ABA.,multidao de homems. A duplicaçao e pluralizadora.
ABA-ABA,interrogativo: quais as pessoas? A dupli caçao e pluralizadora.
ABA-ABA-MBAE,"interrogativo: de procedencia, com duplicacao de realce: de quem?"
ABA-ABA-PE? ,"interrogativo, com duplicaçao de real ce: quais as pessoas?"
ABA-BAE.,relativo: quem.
ABI-BYK'-A-GUE-p-EYMA.,r t' virgem.
ABA-Cp-'ABA.,relativo: quem.
ABA-CJ-ARA.,relativo: quem.
ABA-E^A-BI-BAE.,homem cego.
ABA-ETE.,"x homem civil, homem honrado, homem ’ de valor, muito homem, homem forro. 2 Homem terrivel homaem medonho."
ABA-GUYR'-APARA.,arco do indio.
