tupi,portugues
A —. Prefi. xo: atua como,"pessoal: agente, da primei ra pessoa de verbos da segunda conjugação. É imprescindivel no indicativo, no permissivo vo, no optativo e no condicional, salvo se os verbos leva- rem pronomes objetivos. Significa: eu. Indica o sujeito."
A,"conota a idéia de arredondado, perdendo sua primitiva natureza de substantivo, e, como tal, tem sentido muito amplo, por vezes intradutivel. Seu sen - tido geral é o de: ifruto, grão, semente. 2 Cabeça."
A,"verbal: do infinito, do Gerúndio: e de nomes, em função não predicativa ou vocativa. Com o Verbo: em final consoante, é ele acrescentado para formação do ge rúndio."
A,"i um dos afixos que de nomes forma nomes e estã no limite entre Afixo: e radical, parecendo ter duas posições: a verbal e a nominal. Não é Vocativo: e só aparece junto a temas terminados em consoante ou em se- mivogal das palavras paroxltonas."
Ã,"1 fruto, fruta, grão. 2 Glande, Em composição pode significar cabega. Em sentido figurado: ami- go, caro, companheiro, mano, querido."
"Ã,","de ""ara”: tomando."
Ã,"transitivo: dar frutos, frutificar."
Ã XEl,senhorl
Ã,"de aproximação: este(a)(s), isto, eis aqui, eis que jã."
AAN,"nada, não, nenhum, ninguém. Embora prefi- comum aos dois sexos, é preponderante o seu uso pelo homem."
"AÃ-NDE, Particulas agrupadas",nada.
AAN-EYME. Particulas agrupadas,"se não, do oontrãrio."
AAN-EYME E. Particulas agrupadas,nada mesmo a dizer.
AAN É-NHÉ,"transitivo: irregular: 1 contradizer, discor dar, dizer. 2 Porfiar, negar."
AANG-A,"transitivo: 1 arremedar, 2 Exercitar, ex perimentar. 3 Medir, pesar. 4 Pronunciar, recitar. representar. 5 Bezar. 6 Tentar (a alma), provar."
AANG'-ABA,"1 figura, imagem. 2 Medida, si- nal."
AANG'-ABA,Planta (desenho).
AANGA MIQÃ,transitivo:
AANGA MIQÃ,celebrar missa.
AANG' ARA,"tentação, o tentador."
AANG' ARA,0 de- mónio.
AAN-GATU. Particulas agrupadas,"de aproxima gão: este (a)(s), isto, eis aqui, eis que jã."
AAN-GATU-TENHÉ. Particulas agrupadas.',"não, nada, nenhum, rlinguém, nunca."
AANG'-YPY,intransitivo: pronunciar pela primeira ve
AANG'-YPY,","
AAN-I. Particulas agrupadas,"de aproximação de coisa que se estã vendo ou não: este (s), eis aqui, eis que jã, isto."
AAN-I. Particulas agrupadas,"adverbial_: absolutamente não. Quan- do em resposta a perguntas sobre quantidade, sicj nifica: não mais de dois."
"AAN-'lS, Particulas agrupadas","nada, nunca."
AAN-I-NHÉ. Particulas agrupadas,"não, nunca."
"AAN-IPó. Particulas agrupadas,","não mesmo,"
AAN-IPO-BlS. Particulas agrupadas,embora não.
AAN-I-R'AKO. Particulas agrupadas,"não, nunca."
AAN-I-REA. Particulas agrupadas,": nada, não."
AAN-I-REÍ. Particulas agrupadas,": nada, não."
AAN-1 XO-É-NE. Particulas agrupadas,"nada, nunca"
AAN-I Xó-E IPO-NE. Particulas agrupadas,"por a- caso nunca,"
AAN-I Xó-É KOY-TE-NE. Particulas agrupadas,nunca
AAN-NHÉ. Particulas agrupadas,não.
AAN-UMÉ. Particulas agrupadas,nunca.
AAN-YMÉ. Particulas agrupadas,nada.
"AAN-YMÉ-NE, Particulas agrupadas",nada. k ir
"ABA,","verbal: A causa, o lugar, o modo, o tempo, o motivo de. A ação do Verbo: é que deve dar si"
"ABA,",nificado a composiqão.
ABA,"cabelo, pelo, pena, pluma."
AB-A { ÍO- },"defectivo: irregular transitivo: abrir, cortar (com cunha, machado ou a golpeã)."
ABA,interrogativo: quem? Antepoe-se ao particlpio
ABÃ,"homem, indio, pessoa, povo."
ABÃ,"- seguido de um dos patticipios como ""bae"" ""gara"", ""mbi"", ""pyra"", ""gaba"":, quem."
ABÃ-ABÃ,multidão de homems. A duplicação é pluralizadora.
ABÃ-ABÃ,interrogativo: quais as pessoas? A dupli cagão é pluralizadora.
ABÃ-ABÃ-MBAÉ,"interrogativo: de procedência, com duplicacao de realce: de quem?"
ABÃ-ABÃ-PE? ,"interrogativo, com duplicação de real ce: quais as pessoas?"
ABÃ-BAE,relativo: quem.
ABÍ-BYK'-A-GUE-p-EYMA,r t' virgem.
ABÃ-Cp-'ABA,relativo: quem.
ABÃ-CJ-ARA,relativo: quem.
ABÃ-E^Ã-BI-BAE,homem cego.
ABÃ-ETÉ,"x homem civil, homem honrado, homem ’ de valor, muito homem, homem forro. 2 Homem terrivel homãem medonho."
ABÃ-GUYR'-APARA,arco do indio.
AB'-AIBÃ,"confuso, dificil, fãcil, ingreme, trabalhoso."
ABÃ-ITÉ,"homem disforme, homem medonho, homem temeroso, homem terrivel."
ABA-I-xOARA,mão de pilão.
ABÃ-KANHEMA,"o homem que foge, o fugitivo."
ABÃ - KANHEMB-ARA,"o homem que foge, o fugitivo"
ABÃ-KARU,"homem comedor, homem guloso."
ABÃ-KATU-A-ABA,"peixe-galo, da familia dos ca rangideos, gênero Seleno."
ABÃ-MBAÉ,interrogativo: possessivo: de quem?
ABÃ-MBAE—0,"homem comedor, homem guloso."
ABÃ-MBI,relativo: quem.
ABÃ-MEMUÃ,homem trapaceiro.
ABÃ-MOKOIA,segundo homem.
ABÃ-MONDÃ,homem ladrão.
AB'-ANG'-ABA,"acovardadq, desanimado, descoroçoado."
AB'-ANG'-AlBA,homem desprezivel.
AB' -AN'-GATU,"gentil-homem,. homem corte"
AB' -AN'-GATU,", ho- mem distinto."
ABÃ-NHAND - -ABAi,a corrida.
ABÃ-NHÉ,"homem civil, homem leigo. abã-nheen"
ABÃ-NHEEN 1 ,fala ou lingua de gente. 0 tupi.
ABÃ O-KANHEM-BAE,"c homemi que foge, o fugitivo-"
ABÃ PANEMA,"1 indio comedor de gente, antropófago. 2 0 homem que espia, espiao."
"ABÃ-pOera,",: o homem que foi
ABÃ-PYÃ,entranhas do homem.
ABÃ-PYRA,relativo: quem.
ABA-R-Ã,o cabelo ou pelo variegado ou manchado.
ABA-R-ABA,malhado ou manchado (cabelo ou pé- lo) -
ABÃ-RAMbOeRA,: o homem que havia de ter sido. Em guarani é ‘'abã-ranguera
ABÃ-RAMbOeRA,1
ABARANA,coisa que parece.
ABÃ-R-É,"amigo da gente, pessoa diferente, pes- soa sobrenatural t Padre."
ABÃ-R-É-GUAgu,"'t Bispo, prelado."
ABÃ-R-É MANDUARA,t a memória ou recordação do Padre.
ABÃ-R-É-BEBÉ,o Padre que voa.
"ABÃ-R-OKA,","a casa do indio,"
ABÃ-R-ÍYRA,sobrinho do indio.
ABA-TI,"os cabelos brancos ou aloirados, É cons truqao de ""aba"" 4- ""tinga”, passando por ""aba-tl""."
ABÃ-TÍ,"os cabelos brancos,"
ABA-TINGA,"os cabelos brancos,"
"ABA-TIN-I,","o milho, roca de milho, farinha feita ou tirada do milho."
"AB 1 -ATIRÃ,","os cabelos erguidos em topete, cabe- los amontoados,"
ABA-TI-TYBA,"lugar do miiho, milharal."
ABA-TI-Y,vinho do milho.
ABÃ-TUTYRA,tio materno do indio.
ABA-U-gANGA,os cabelos soltos ou desgrenhados.
ABA-UNA,os cabelos pretos.
"ABÃ-UNA,","o homem negro, o preto."
"ABÃ-YBA,","futuro esposo, namorado, noivo,"
"ABÉ, Particula subordinativa temporal; ao mesmo tempo em que, apenas, assim, desde que","juntamente, logo depois de"
"ABÉ, Particula subordinativa temporal; ao mesmo tempo em que, apenas, assim, desde que","logo que, simultaneamente. Supre a traduqão de ""logo gue"", ""depois que 1!, ""enguanto 11 ou a conjungãp ""e"", que não existe no tupi. Serve, pois, de conectivo."
AB -EBó,"cabelo erigado, grenha. Adjetivo: apressado,"
AB'-EgÃ-KANGA,cabelo ralo.
"AB""-EKYÍ-A",transitivo: puxar ou arrancar os cabelos de
ABE-NO,"ao mesmo tempo que, assim que, logo que, também."
ABÉ-RAMEI,"como, parecer com."
ABÉ-RAMEI,1
AB~-I,"a agulha, o cabelinho. 0 ""i"" neste caso é diminutivo.)."
AB'-I-Iu,"1 frisa, lanugem,. penugem, raspa. 1 Aspereza (de pano, de madeira)."
AB'-I-ÍU-POó,' transitivo: desfiar.
ABI-R-U,"cheio, farto, repleto."
AB'-IU,transitivo: catar a cabeça de.
AB'-Oó,"1 aspereza (de pano, de madeira). 2 Lanugem; penugem."
AB'-Oó (I-),"transitivo: arrancar os pelos ou as penas de, depenar, pelar a cabega de."
ABOY,minhoca.
AB'-UNA,cabelo preto. 2 0 negro.
ABURA,"respiração solta, o resfolego."
AB$-ARA,"aquele que erra. =""aby-gara""."
"ABY-I,","transitivo: errar, nãoacertar em, transgredir."
ABYAKA,"bodum, cheiro de -suor ou de roupa suja,- fedor. Adjetivo: fedorento (a mofo ou a suor)"
ABYAK-A,"intransitivo: cheirar a mofo ou a suor, feder."
ABY-A-R-A,diferente de.
ABY-A-R-EYMA,"parecido com, semelhante a."
ABY-BYRA (XE),"reflexivo: arrepiar-se de'frio, arrepiarem-se os cabe, los."
ABY-gARA,aquele que erra.
ABYKY,"transitivo: escovar, pentear, tocar, apalpar, manusear."
ABYKY-ABA,carda.
ABYR-A EYMA,"semelhante,"
ABYR-A-R-U,"bolorento, mofado, úmido. k k k. k"
AQABA-,"recepgão, tomada,"
"AQABA- Particula de tempo, modo","lugar, meio, fim, etc< de tomar•"
AQAB-A,"transitivo: atravessar, passar, riscar o corpo de tinta"
AQAB-A,transpassar.
A^AB-A-PE,transitivo: relativo: passar para (raro
AQAÍS,ao meio dia.
A-gANGA,"curto, rechonchudo."
A-gANG' UgU,rechonchudo.
AgAPABA,"passagem, travessia."
A-gARA',"o que recebe, recebedor."
AgÉ,"possessivo: da gente, de todos nós."
AgE-AgÉ ‡ (g-) ou Caqé-gage(XE),intransitivo: vociferar. A duplicação é de realce da ação.
AQÉ-AgEMA,gritaria.
AQÉ-ANGA,"a sombra da gente, a nossa sombra."
Agfi-BE,"pessoal: das 1as. pessoas, regido de preposição dativa: ã gente, a nós todos."
AQÉ-BO,"pessoal: das 1as. pessoas, regido de prepos_i gão dativa: ã gente, a nós todos."
AgÉIA. Substantivo; costas. -,"ãs costas. 0 ""i"" interno e preposigao locativa.’"
"AgEMA,",grito.
AgEM-A(XE),intransitivo: gritar.
A-gEM-A,"intransitivo: sair. 0 ""g"" é temãtico."
AgÉ-OKA,"garganta, goela."
AgÉ-OKA-AIA,"ceu da boca, palato, úvula,"
AgÉ-ó-KYTÃ,"garganta, goela, nó da garganta, pomo de Adão."
AgÉ-O-PYÃIA,"céu da boca, palato, úvula."
AgiAB-A,"transitivo: dividir, partir."
A-gO-CÉ,"a abundãncia, o que avulta."
Agol,"transitivo: abrigar, cobrir, tampar, tapar."
AgOABA,carapuga de penas.
AgOABA,"abrigo, co bertura, manto,"
AgolAB'-OK-A,"transitivo: descobrir, destampar, tirar a tampa."
Ag'-OKA,nome de vãrios vermes que se de- sen
Ag'-OKA,"Dlvem em frutas, em carne."
Agu,"a esquerda, lado esquerdo, mão esquerda."
Agu,1 grande e grosso. 2 Canhoto.
AgUB-A,amor.
A-gU-gURA,"coalhado, cheio de coalho. A duplicagão é de realce.= ""a-QU-qur-i""."
A-gu-gUR-I,"coalhado, cheio de coalho. A duplicaQao é de realce."
A-gURA,"altibaixo, corcova, lobinho, lombada."
Agu-REMA,Veado catinguento.
A-gUR-I,"coalhado, cheio de coalho.- A-Qura."
A'- QU-U,"transitivo: morder a cabeQa de, morder sem mastigar,"
AQY,"dor. Adjetivo: dolorido, penoso."
AgY(XE) {QUÍ},"intransitivo: de Pronome: paciente: doer, doer a (com ou sem o Sufixo: ""gui). Verbo: tran sitivo: pesar. Verbo: factivo: ser dificil, ser tra- balhoso. Admite as vezes a incorporagão do sujeito."
AgY,transitivo: (s6 na 3a. pessoa): pesar a.
AgiAB-A,"retransitivado: cortar, dividir, partir. "" 0-i-acyab""= cortou em pedagos."
AQYB-A,transitivo: cortar o cabelo.
AQYKA,"1 fatia, peda<jo, 2 Maneta."
AQYK-UERA,"1 fatia, pedago, posta. 2 Em lingua gem figurada: irmão ou irmã."
A-QYMA,"coisa lisa e arredondada, escorregadio, liso."
AQYP-ABA,corte de cabelo.
A-QYRA,"altibaixo, corcova, lombada.= ""a-gura""."
AQY-R-ó,moido de cansaço ou de dor. •k k ifc
AÉ,"parte mortal, parte vital."
AÉ,"outro, outrem, diferente. Pode funcionar co- mo conjungão dubitativa: mas, se não."
AÉ. Particula. Tem vãrias funções,"conjuntiva: e. Em tupi não hã. coordenativa mas ""aé"" aparece abrindo periodos que tém conexão com os anteriores? demonstrativa de aproximagão de coisa que não se estã vendo: aquele(a)(s), mesmo, aquilo, ele próprio. 3 condicional negativa: não fos se, se não fosse... 4 Complementar de orações pre- dicativas, com substantivos, ou, ãs vezes, com pro- nomes. E a unica particula demonstrativa usada com as preposições ãtonas."
AÉ-AÉ,"pessoal: ele, mesmo(a), aquele(a)."
AÉ-BAE,justamente.
AÉ-BO-É,"justamente, tantos quantos.=""Oxã""."
AEMBÉ•,"ãspero. Na negativa: afiado, amolado."
Afi-MBfi,"transitivo: torrar (milho, etc.)."
AEMBÉ-fi,na forma negativa
AEMBÉ-É,"transitivo: afiar, agugar o fio de, amolar."
AEMBÉ-KORóIA,"ãspero, saliente."
AEMO,e com tudo isso...?
AÉ-N'IPO,"e parece que.= ""aé-gerã n'ipS""."
AÉ N'IPO...-REME,se por acaso.
AÉ-PE,"de aproximação:‘aX, então, la, la mesmo, nele(a), naquilo"
AÉ-PUER'-ABÉ. Particulas agrupadas,"desde então, logo."
AÉ-R-É. Particulas agrupadas,dépois disso.
AÉ-REME. Particulas agrupadas,então.
AÉ-REME—É. Particulas agrupadas,entao é que.
A-ETÉ,"aprimorado, fino, ótimo."
"AG. Participio:. Forma naéalada de ""ag"", pop sua vez a forma de ""^aba"" no futuro, no passado e no futuro-passa - do. Indica lugar, teinpo, modo, meio, fim, etc. de uma ação, cujo",a que se compoe dã o signifi cado.
AGOA-^EM-A,transitivo: achar.
A-GUA,incha
A-GUA,o com corrimento.
A-GUA-A,"inchago com corrimento. 2 Concavidade, reentrãncia, altibaixos."
AOUÃ-'CA,"amante, bastardo, concubina."
AGUA-'uA-Y,nome de um esplrito.
AGUA-I,"cascavel, guizo. Botãnica: variedade de fruto e ãrvore da familia das leguminosas, chamada cascaveleira ou feijao de guizos."
AGUAl-A,"transitivo: morder com as gengivas, aboca - nhar."
A-GU-A-MIRANGA,bracelete de penas. jp-GU-'ANA. Substantivo: bracelete de penas.
Í-GU-A-PE-A-COKA,"jaganã, pãssaro da familia dos jacanideos, genero Jacana."
A-GOarA,"cachorro-do-mato, da familia dos cani deos, gênero Dusicyon."
A-GUARA-g-ABA,esnécie de formiga.
A-GUARÃ-'CA-UQA,variedade de caranguejo.
A-gOarA-GUACU,lobo. Introducão lusa pelos cate quistas para entendimento de seus contos.
A-GUAflRl-A,"intransitivo: brotar, germinar."
A-gOarA-KABA,espécie de forniga.
A-GU-ATE-O-PC-BO,intransitivo: andar de gatinhas. 0 possessivo é serapre da 3a. pessoa.
A-GUE,"distributivo: mãedio, meio, um pouco me nos do que metade, pela metade. Substantivo: cin - tura."
A-GUE-A,eixo. 2 Molar. a-gOé-A-pO-py
A-GOÉ-A Pó-PY,dente do siso.
A-GUERA,cabeleira.
A-GOÉ-Y¡,6¡ ola¡.
A-GUYl,ó¡.
A-GOy-A-GOY,intransitivo:
A-GOy-A-GOY,"cambalear ga, enjóo, embriague"
A-GOy-A-GOY,"). 2 Vibrar (vara,"
AHE!,ó¡ upa¡ veja issol.= ãhé'.
AHé!,6! upa! veja issol.= ahé! k ie k
